id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
syn_0,Appreciate the clarification. Got it?..,0,0,0,0,0,0
syn_1,You are so dumb and clueless. 😂?!,1,0,0,0,0,0
syn_2,That's a strong claim without evidence.,0,0,0,0,0,0
syn_3,Please provide a reference.,0,0,0,0,0,0
syn_4,Thanks for sharing the update. 😤 This again?...,0,0,0,0,0,0
syn_5,What a disgraceful comment. 🙄...,0,0,0,0,1,0
syn_6,Appreciate the clarification.!!,0,0,0,0,0,0
syn_7,This is not accurate according to the report. Be respectful.,0,0,0,0,0,0
syn_8,Appreciate the clarification.!!,0,0,0,0,0,0
syn_9,Thanks for sharing the update.,0,0,0,0,0,0
syn_10,I can't stand those men.!,1,0,0,0,0,1
syn_11,Appreciate the clarification. 😂..,0,0,0,0,0,0
syn_12,I think we should consider other perspectives.,0,0,0,0,0,0
syn_13,This is **** ridiculous.!!,1,0,1,0,0,0
syn_14,Please provide a reference. End of story.,0,0,0,0,0,0
syn_15,I completely disagree with your point.!!,0,0,0,0,0,0
syn_16,Appreciate the clarification.!,0,0,0,0,0,0
syn_17,I completely disagree with your point. 😂,0,0,0,0,0,0
syn_18,This is not accurate according to the report. 🙂,0,0,0,0,0,0
syn_19,Appreciate the clarification. 🙄 Got it?..,0,0,0,0,0,0
syn_20,I think we should consider other perspectives. Be respectful....,0,0,0,0,0,0
syn_21,Th4nk5 f0r 5h4r1ng th3 upd4t3. 🤬 Read the rules.,0,0,0,0,0,0
syn_22,Appr3c14t3 th3 cl4r1f1c4t10n.,0,0,0,0,0,0
syn_23,We need to follow community guidelines.,0,0,0,0,0,0
syn_24,I c0mpl3t3ly d154gr33 w1th y0ur p01nt....,0,0,0,0,0,0
syn_25,This is not accurate according to the report.!!,0,0,0,0,0,0
syn_26,You're clueless and incompetent.,1,0,0,0,1,0
syn_27,C4n y0u 3l4b0r4t3 0n th15 155u3?,0,0,0,0,0,0
syn_28,I completely disagree with your point. 😂,0,0,0,0,0,0
syn_29,I think we should consider other perspectives.,0,0,0,0,0,0
syn_30,I completely disagree with your point...,0,0,0,0,0,0
syn_31,You sound completely uneducated..,0,0,0,0,1,0
syn_32,"Get lost, nobody cares.",1,0,0,0,0,0
syn_33,We need to follow community guidelines. You're kidding.?!,0,0,0,0,0,0
syn_34,This is not accurate according to the report.,0,0,0,0,0,0
