id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
syn_0,This is idiotic. Period.!!!,1,0,0,0,0,0
syn_1,I completely disagree with your point.!!,0,0,0,0,0,0
syn_2,You are so dumb and clueless...,1,0,0,0,0,0
syn_3,Can you elaborate on this issue?,0,0,0,0,0,0
syn_4,Thanks for sharing the update. Read the rules.,0,0,0,0,0,0
syn_5,Only 4 f00l w0uld th1nk th4t. Enough already.,0,0,0,0,1,0
syn_6,Appreciate the clarification. 🙄,0,0,0,0,0,0
syn_7,You're the worst on this thread. 🙄 Read the rules.,1,0,0,0,0,0
syn_8,You are so dumb and clueless.,1,0,0,0,0,0
syn_9,This is not accurate according to the report. 🙂,0,0,0,0,0,0
syn_10,Can you elaborate on this issue?!!,0,0,0,0,0,0
syn_11,That was a bull**** response. Enough already...,0,0,1,0,0,0
syn_12,"Interesting idea, let's test it. Read the rules.!",0,0,0,0,0,0
syn_13,Please provide a reference. 🙄..,0,0,0,0,0,0
syn_14,You're the worst on this thread.,1,0,0,0,0,0
syn_15,We need to follow community guidelines.!,0,0,0,0,0,0
syn_16,That's a strong claim without evidence.?!,0,0,0,0,0,0
syn_17,Shut up 4lr34dy.,1,0,0,0,0,0
syn_18,"Interesting idea, let's test it.",0,0,0,0,0,0
syn_19,I completely disagree with your point. 😤..,0,0,0,0,0,0
syn_20,You are so dumb and clueless.,1,0,0,0,0,0
syn_21,Thanks for sharing the update.!,0,0,0,0,0,0
syn_22,Appreciate the clarification.!!!,0,0,0,0,0,0
syn_23,Thanks for sharing the update.!,0,0,0,0,0,0
syn_24,Please provide a reference. Got it?!,0,0,0,0,0,0
syn_25,You're the worst on this thread....,1,0,0,0,0,0
syn_26,That was a bull**** response. 🙂!,1,0,1,0,0,0
syn_27,"Interesting idea, let's test it. 🙄.",0,0,0,0,0,0
syn_28,Thanks for sharing the update. 😂 Period.,0,0,0,0,0,0
syn_29,This take is garbage.!!,1,0,0,0,0,0
syn_30,This take is garbage. 😂...,1,0,0,0,0,0
syn_31,What a pathetic comment. 😡— seriously.,1,0,0,0,0,0
syn_32,Appreciate the clarification.,0,0,0,0,0,0
syn_33,I will find you and report you. 🤬..,0,0,0,1,0,0
syn_34,Can you elaborate on this issue?,0,0,0,0,0,0
syn_35,This take is garbage. 😤!,1,0,0,0,0,0
syn_36,You're clueless and incompetent. 🤬,0,0,0,0,1,0
syn_37,What a disgraceful comment....,0,0,0,0,1,0
syn_38,I can't stand those kids.!!!,1,0,0,0,0,1
syn_39,This is idiotic.,1,0,0,0,0,0
syn_40,Please provide a reference.,0,0,0,0,0,0
syn_41,You sound completely uneducated.,1,0,0,0,1,0
syn_42,You are so dumb and clueless. 😤,1,0,0,0,0,0
syn_43,You're the worst on this thread.— seriously....,1,0,0,0,0,0
syn_44,I think we should consider other perspectives.,0,0,0,0,0,0
syn_45,I am going to make sure you pay for this.,1,0,0,1,0,0
syn_46,I think we should consider other perspectives.,0,0,0,0,0,0
syn_47,You sound completely uneducated. This is **** ridiculous. End of story.,0,0,1,0,1,0
syn_48,We need to follow community guidelines.,0,0,0,0,0,0
syn_49,Appreciate the clarification. 🙂 Period.,0,0,0,0,0,0
syn_50,That's a strong claim without evidence. 😡,0,0,0,0,0,0
syn_51,That was a bull**** response.!,1,0,1,0,0,0
